Unnamed: 0,fermi_alpha,fermi_b,social_factor,connections_perstep,opinion_max_diff,conformity,Run,Replicates,Network Modularity,Leibovici Entropy Index,Altieri Entropy Index,connections_per_step,Modularity
22,2.59375,4.3359375,0.85546875,2,4.05859375,0.61328125,22,0.142307945,0.160578436,0.034681584,2,,
23,2.59375,6.4453125,0.29296875,2,4.05859375,0.61328125,23,0.142307945,0.160578436,0.034681584,2,,
24,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,24,0.142307945,0.160578436,0.034681584,2,,
25,2.59375,6.4453125,0.85546875,2,7.08203125,0.61328125,25,0.142307945,0.160578436,0.034681584,2,,
26,2.59375,6.4453125,0.85546875,2,4.05859375,0.55078125,26,0.142307945,0.160578436,0.034681584,2,,
27,2.40625,4.3359375,0.29296875,2,7.08203125,0.55078125,27,0.142307945,0.160578436,0.034681584,2,,
28,2.84375,1.7578125,0.19921875,3,7.15234375,0.33203125,28,0.271873589,0.181247337,0.036540962,2,,
29,4.65625,1.7578125,0.19921875,3,7.15234375,0.33203125,29,0.387669106,0.313857173,0.040443576,2,,
30,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,30,0.271873589,0.181247337,0.036540962,3,,
31,2.40625,6.4453125,0.85546875,2,4.05859375,0.61328125,31,0.387669106,0.313857173,0.040443576,3,,
32,2.59375,4.3359375,0.85546875,2,4.05859375,0.61328125,32,0.271873589,0.181247337,0.036540962,3,,
33,2.59375,6.4453125,0.29296875,2,4.05859375,0.61328125,33,0.271873589,0.181247337,0.036540962,3,,
34,2.59375,6.4453125,0.85546875,2,4.05859375,0.61328125,34,0.271873589,0.181247337,0.036540962,3,,
35,2.59375,6.4453125,0.85546875,2,7.08203125,0.61328125,35,0.387669106,0.313857173,0.040443576,3,,
36,2.59375,6.4453125,0.85546875,2,4.05859375,0.55078125,36,0.142307945,0.160578436,0.034681584,3,,
